ID,AgeOldestIdentityRecord,AgeOldestAccount,AgeNewestAutoAccount,TotalInquiries,AvgAgeAutoAccounts,TotalAutoAccountsNeverDelinquent,WorstDelinquency,HasInquiryTelecomm
8327202,318.0,355.0,,0.0,,,1.0,0.0
8326591,173.0,,,0.0,,,,0.0
8328905,305.0,327.0,110.0,0.0,121.0,0.0,90.0,0.0
8327158,20.0,2.0,,0.0,,,1.0,1.0
8322416,118.0,83.0,,0.0,,,1.0,0.0
8331855,4.0,,,0.0,,,,0.0
8326814,395.0,89.0,,0.0,,,90.0,0.0
8328025,323.0,224.0,49.0,1.0,49.0,0.0,400.0,0.0
8332093,348.0,187.0,17.0,0.0,76.0,1.0,400.0,0.0
8324438,139.0,34.0,,0.0,,,400.0,0.0
8324632,152.0,55.0,,0.0,,,1.0,0.0
8323148,147.0,103.0,,0.0,,,1.0,0.0
8328276,106.0,94.0,38.0,0.0,61.0,0.0,1.0,0.0
8322687,173.0,,,0.0,,,,0.0
8325574,76.0,71.0,36.0,0.0,36.0,0.0,1.0,1.0
8327330,85.0,43.0,,0.0,,,1.0,0.0
8332807,292.0,,,,,,,0.0
8332194,316.0,507.0,25.0,3.0,87.0,3.0,400.0,0.0
8328585,231.0,71.0,,0.0,,,1.0,0.0
8323076,24.0,,,0.0,,,,0.0
8327936,162.0,97.0,,0.0,,,400.0,1.0
8328518,298.0,124.0,90.0,0.0,103.0,1.0,400.0,0.0
8322064,341.0,100.0,6.0,1.0,6.0,1.0,400.0,0.0
8323468,380.0,351.0,47.0,0.0,108.0,2.0,1.0,0.0
8327264,296.0,,,,,,,0.0
8325027,347.0,182.0,,2.0,,,1.0,0.0
8323816,255.0,72.0,72.0,0.0,72.0,0.0,400.0,0.0
8324642,240.0,221.0,85.0,0.0,85.0,0.0,400.0,0.0
8332363,324.0,40.0,40.0,0.0,40.0,0.0,1.0,0.0
8329330,129.0,60.0,,0.0,,,60.0,0.0
8329545,380.0,54.0,54.0,0.0,54.0,0.0,1.0,0.0
8323058,374.0,128.0,45.0,0.0,87.0,0.0,1.0,0.0
8331557,120.0,104.0,22.0,0.0,60.0,2.0,400.0,0.0
8326670,137.0,121.0,5.0,0.0,28.0,1.0,400.0,0.0
8331094,306.0,148.0,35.0,3.0,72.0,2.0,400.0,0.0
8324059,182.0,27.0,,1.0,,,1.0,0.0
8331455,349.0,201.0,69.0,0.0,93.0,1.0,1.0,0.0
8331442,198.0,173.0,5.0,0.0,27.0,1.0,400.0,0.0
8329049,317.0,36.0,,1.0,,,400.0,0.0
8330856,354.0,229.0,,0.0,,,30.0,0.0
8321863,281.0,249.0,2.0,1.0,69.0,3.0,1.0,0.0
8326478,240.0,220.0,99.0,0.0,99.0,0.0,1.0,0.0
8332018,110.0,111.0,,0.0,,,90.0,1.0
8324080,269.0,160.0,,0.0,,,400.0,0.0
8326922,101.0,29.0,29.0,0.0,29.0,1.0,1.0,0.0
8322535,29.0,28.0,21.0,0.0,21.0,0.0,120.0,0.0
8323731,125.0,126.0,,0.0,,,400.0,0.0
8329530,244.0,126.0,56.0,0.0,94.0,2.0,400.0,0.0
8322677,231.0,96.0,28.0,0.0,62.0,0.0,90.0,0.0
8324419,334.0,211.0,18.0,2.0,87.0,1.0,1.0,0.0
8324128,148.0,146.0,,3.0,,,400.0,0.0
8325908,272.0,49.0,49.0,0.0,49.0,0.0,400.0,0.0
8331940,120.0,121.0,,1.0,,,1.0,0.0
8332695,261.0,87.0,,0.0,,,1.0,0.0
